tc_customer_id,tc_loyalty_program_id,custom_data_product_differentiator,tc_min_created_at,tc_max_created_at,number_of_txns,customer_id,loyalty_program_id,selling_price_usd,cost_per_point_usd,transfer_ratio,start_date,end_date,type_of_partner,tier
2,AABIG,,2022-01-06 17:15:03,2022-02-16 17:15:01,3,2,AABIG,0.0091,0.0058188429,2,2018-05-29,2022-12-31,Ascenda Partner,""
2,ACAEROPLAN,,2022-01-02 17:15:00,2022-02-25 17:15:09,87,2,ACAEROPLAN,0.0165,0.010826775,2,2018-06-26,2022-12-31,Ascenda Partner,""
2,AFFLYINGBLUE,,2022-01-02 17:15:00,2022-02-25 17:15:08,24,2,AFFLYINGBLUE,0.0131,0.0105,2,2018-06-26,2022-12-31,Ascenda Partner,""
2,AVLIFEMILES,,2022-01-04 17:15:00,2022-02-27 17:15:00,35,2,AVLIFEMILES,0.0165,0.0125,2,2019-07-03,2022-12-31,Ascenda Partner,""
2,AYFINNAIRPLUS,,2022-01-02 17:15:00,2022-02-16 17:15:02,5,2,AYFINNAIRPLUS,0.0106,0.008,2,2018-11-20,2022-12-31,Ascenda Partner,""
2,BAAVIOS,,2022-01-02 17:15:00,2022-02-27 17:15:01,421,2,BAAVIOS,0.0157,0.012,2,2020-07-01,2022-12-31,Ascenda Partner,""
2,ETHGUEST,,2022-01-06 17:15:08,2022-02-12 17:15:02,7,2,ETHGUEST,0.0157,0.012,2,2017-06-13,2022-12-31,Ascenda Partner,""
2,EVAINFML,,2022-02-02 17:15:02,2022-02-09 17:15:03,2,2,EVAINFML,0.015,0.01155,2,2017-09-01,2022-12-31,Ascenda Partner,""
2,QFQANTAS,,2022-01-16 17:15:01,2022-02-16 17:15:02,4,2,QFQANTAS,0.0132,0.01,2,2018-11-20,2022-12-31,Ascenda Partner,""
2,QRPRIVILEGECLUB,,2022-01-05 17:15:01,2022-02-20 17:15:02,3,2,QRPRIVILEGECLUB,0.0185,0.014,2,2020-05-01,2022-12-31,Ascenda Partner,""
2,UAMILEAGEPLUS,,2022-01-02 17:15:01,2022-02-27 17:15:00,109,2,UAMILEAGEPLUS,0.019,0.0135,2,2017-06-13,2022-12-31,Ascenda Partner,""
3,AFFLYINGBLUE,,2022-01-02 02:22:48.82184,2022-02-28 18:52:56.483818,125,3,AFFLYINGBLUE,0.0178,0.0115,2,2020-10-01,2023-09-04,Ascenda Partner,""
3,AMCLUBPREMIER,,2022-01-02 19:31:00.552978,2022-02-24 00:45:59.56048,10,3,AMCLUBPREMIER,0.0185,0.012,2,2020-10-01,2023-09-04,Ascenda Partner,""
3,BAAVIOS,,2022-01-08 20:04:12.372521,2022-02-28 14:21:47.777198,44,3,BAAVIOS,0.0185,0.012,2,2020-10-01,2023-09-04,Ascenda Partner,""
3,ETHGUEST,,2022-01-05 16:09:43.775792,2022-01-26 00:31:50.715184,13,3,ETHGUEST,0.0185,0.012,2,2020-10-01,2023-09-04,Ascenda Partner,""
3,IBIBERIAPLUS,,2022-01-01 01:41:19.218392,2022-02-26 22:26:17.495686,72,3,IBIBERIAPLUS,0.0185,0.012,2,2020-10-01,2023-09-04,Ascenda Partner,""
3,IHGREWARDSCLUB,,2022-01-01 22:52:28.152709,2022-02-28 21:12:55.211912,71,3,IHGREWARDSCLUB,0.0108,0.007,1,2020-10-01,2023-09-04,Ascenda Partner,""
3,UAMILEAGEPLUS,,2022-01-01 09:54:49.779374,2022-02-28 20:56:23.421697,224,3,UAMILEAGEPLUS,0.0232,0.014,2,2020-10-01,2022-09-22,Ascenda Partner,""
5,AABIG,,2022-01-14 10:04:15.083498,2022-01-14 10:04:15.083498,1,5,AABIG,0.00875707128,0.0058188429,32,2018-04-16,3000-10-10,Ascenda Partner,""
5,ABFLIGGY,,2022-01-01 01:10:29.418042,2022-02-28 23:40:09.24103,3069,5,ABFLIGGY,0.0019276572,0.002065347,9,2020-09-27,3000-10-10,Ascenda Partner,""
5,ABFLIGGY,,2022-01-01 01:10:29.418042,2022-02-28 23:40:09.24103,3069,5,ABFLIGGY,0.0024784164,0.002065347,9,2020-09-27,3000-10-10,Ascenda Partner,""
5,ACAEROPLAN,,2022-01-05 05:47:55.260935,2022-02-28 08:43:34.179464,13,5,ACAEROPLAN,0.01376898,0.010826775,50,2019-02-25,3000-10-10,Ascenda Partner,""
5,ACCORLECLUB,,2022-01-08 05:18:45.289911,2022-02-28 09:30:25.435098,23,5,ACCORLECLUB,0.030291756,0.021635,110,2019-02-25,2022-06-30,Ascenda Partner,""
5,AFFLYINGBLUE,,2022-01-10 06:49:22.632232,2022-02-15 01:13:31.55205,5,5,AFFLYINGBLUE,0.01251600282,0.0105,46,2018-04-16,3000-10-10,Ascenda Partner,""
5,AVLIFEMILES,,2022-01-09 23:40:03.951553,2022-02-28 09:28:33.736575,9,5,AVLIFEMILES,0.015145878,0.0125,55,2019-07-01,3000-10-10,Ascenda Partner,""
5,AYFINNAIRPLUS,,2022-02-22 07:26:58.803468,2022-02-22 07:26:58.803468,1,5,AYFINNAIRPLUS,0.0099136656,0.008,36,2019-02-25,2024-04-30,Ascenda Partner,""
5,BAAVIOS,,2022-01-01 13:10:28.943902,2022-02-28 02:33:28.100584,108,5,BAAVIOS,0.015145878,0.012,55,2020-07-01,2023-12-31,Ascenda Partner,""
5,CXASIAMILES,,2022-01-01 21:42:42.880079,2022-02-28 16:49:48.333482,192,5,CXASIAMILES,0.0187258128,0.014,68,2021-11-01,3000-10-10,Ascenda Partner,""
5,ETHGUEST,,2022-01-14 05:40:49.872061,2022-02-18 01:15:43.535291,3,5,ETHGUEST,0.01376898,0.012,50,2018-04-16,3000-10-10,Ascenda Partner,""
5,EVAINFML,,2022-01-10 18:18:55.464595,2022-02-26 15:59:21.141784,4,5,EVAINFML,0.01376898,0.01155,50,2018-04-16,3000-10-10,Ascenda Partner,""
5,IHGREWARDSCLUB,,2022-01-01 01:27:24.226334,2022-01-24 00:19:34.097281,2097,5,IHGREWARDSCLUB,0.00875707128,0.007,32,2018-04-16,3000-10-10,Ascenda Partner,""
5,JALMILEAGEBANK,,2022-01-03 11:23:24.230152,2022-02-28 01:28:42.470116,10,5,JALMILEAGEBANK,0.024784164,0.019,90,2020-08-31,3000-10-10,Ascenda Partner,""
5,JJWEHOTEL,,2022-01-01 11:16:48.633699,2022-02-28 23:46:16.502599,14,5,JJWEHOTEL,0.0066091104,0.005507592,24,2021-12-21,2023-12-14,Ascenda Partner,""
5,MIMARRIOTTBONVOY,,2022-01-01 00:36:56.551295,2022-02-28 15:18:19.836418,1428,5,MIMARRIOTTBONVOY,0.0115659432,0.0092,42,2020-08-31,3000-10-10,Ascenda Partner,""
5,QFQANTAS,,2022-01-12 05:25:04.957491,2022-02-27 06:14:49.826461,3,5,QFQANTAS,0.01251600282,0.01,46,2019-02-25,3000-10-10,Ascenda Partner,""
5,SQKF,,2022-01-10 01:54:56.421135,2022-02-28 05:04:09.003407,31,5,SQKF,0.0187258128,0.014,68,2020-12-01,3000-10-10,Ascenda Partner,""
5,UAMILEAGEPLUS,,2022-01-02 00:55:59.303496,2022-02-28 14:18:40.549579,27,5,UAMILEAGEPLUS,0.01752791154,0.0135,64,2018-04-16,3000-10-10,Ascenda Partner,""
5,WHWYNDHAMREWARDS,,2022-01-08 13:26:46.505602,2022-01-23 06:37:55.985269,3,5,WHWYNDHAMREWARDS,0.015145878,0.012,55,2020-08-31,3000-10-10,Ascenda Partner,""
6,ACAEROPLAN,,2022-01-08 12:43:26.53613,2022-02-26 12:22:26.211502,14,6,ACAEROPLAN,0.0152,0.012270345,20,2018-06-14,2024-02-29,Ascenda Partner,""
6,ACCORLECLUB,,2022-01-03 15:33:42.866951,2022-02-28 04:43:45.337513,18,6,ACCORLECLUB,0.0342,0.02704375,45,2018-06-14,2024-02-29,Ascenda Partner,""
6,AFFLYINGBLUE,,2022-01-02 09:27:53.585576,2022-01-18 15:18:10.928314,5,6,AFFLYINGBLUE,0.0121,0.011,16,2017-12-13,2024-02-29,Ascenda Partner,""
6,AMCLUBPREMIER,,2022-01-11 18:48:23.365997,2022-02-21 18:29:43.452779,2,6,AMCLUBPREMIER,0.0132,0.012,18,2017-10-21,2023-12-31,Ascenda Partner,""
6,AYFINNAIRPLUS,,2022-01-02 08:21:57.493556,2022-02-17 00:42:59.722838,17,6,AYFINNAIRPLUS,0.0088,0.008,11,2019-06-21,2024-02-29,Ascenda Partner,""
6,BAAVIOS,,2022-01-01 15:28:06.675526,2022-02-25 16:17:01.342625,69,6,BAAVIOS,0.0132,0.012,18,2017-12-13,2023-12-31,Ascenda Partner,""
6,EKSKYWARDS,,2022-01-13 03:29:02.647527,2022-02-07 04:18:31.561674,2,6,EKSKYWARDS,0.0165,0.015,22,2020-02-06,2024-02-29,Ascenda Partner,""
6,ETHGUEST,,2022-01-01 02:39:28.922752,2022-02-24 14:16:09.294692,259,6,ETHGUEST,0.0132,0.012,18,2017-12-13,2024-02-29,Ascenda Partner,""
6,EVAINFML,,2022-02-08 02:31:18.376662,2022-02-08 02:31:18.376662,1,6,EVAINFML,0.0131,0.01155,18,2017-12-13,2024-02-29,Ascenda Partner,""
6,IHGREWARDSCLUB,,2022-01-01 00:56:10.399641,2022-02-28 00:11:35.114715,33,6,IHGREWARDSCLUB,0.0081,0.007,11,2018-06-14,2024-02-29,Ascenda Partner,""
6,JALMILEAGEBANK,,2022-01-03 06:50:50.911003,2022-02-27 04:10:34.261866,5,6,JALMILEAGEBANK,0.021,0.019,26,2020-03-01,2024-02-29,Ascenda Partner,""
6,MIMARRIOTTBONVOY,,2022-01-01 14:01:15.824933,2022-02-28 07:50:39.47377,54,6,MIMARRIOTTBONVOY,0.0112,0.0105,14,2021-10-01,2024-02-29,Ascenda Partner,""
6,QRPRIVILEGECLUB,,2022-01-26 23:49:29.98128,2022-02-10 12:44:28.797927,4,6,QRPRIVILEGECLUB,0.0154,0.014,20,2020-05-01,2024-02-29,Ascenda Partner,""
6,SQKF,,2022-01-02 08:21:10.444948,2022-02-19 23:52:10.729356,14,6,SQKF,0.0154,0.014,18,2021-10-01,2024-02-29,Ascenda Partner,""
6,UAMILEAGEPLUS,,2022-01-27 11:48:39.214994,2022-02-08 03:25:27.467626,3,6,UAMILEAGEPLUS,0.016,0.014,22,2017-12-13,2024-02-29,Ascenda Partner,""
6,WHWYNDHAMREWARDS,,2022-01-23 11:32:31.630834,2022-01-23 11:32:31.630834,1,6,WHWYNDHAMREWARDS,0.0135,0.012,18,2021-10-01,2023-07-12,Ascenda Partner,""
8,AABIG,,2022-01-01 04:46:40.451763,2022-02-25 06:54:32.285184,75,8,AABIG,0.008261388,0.0058188429,40,2018-02-05,3000-10-10,Ascenda Partner,""
8,ABFLIGGY,,2022-01-01 04:35:08.662495,2022-02-28 14:54:28.431187,858,8,ABFLIGGY,0.0024784164,0.002065347,12,2020-05-21,3000-10-10,Ascenda Partner,""
8,ACCORLECLUB,,2022-01-17 07:39:39.655516,2022-02-18 15:39:13.946436,2,8,ACCORLECLUB,0.028914858,0.021635,140,2018-02-05,2022-04-06,Ascenda Partner,""
8,AFFLYINGBLUE,,2022-02-20 06:48:07.448859,2022-02-20 06:48:07.448859,1,,,,,,,,,
8,BAAVIOS,,2022-01-01 11:26:24.527164,2022-02-27 05:12:00.654728,8,8,BAAVIOS,0.016522776,0.012,80,2020-07-01,2022-04-01,Ascenda Partner,""
8,CEEASTERNMILES,,2022-01-01 04:19:53.479124,2022-02-28 15:03:08.324093,297,8,CEEASTERNMILES,0.0113594085,0.009638286,55,2018-02-05,3000-10-10,Ascenda Partner,""
8,CZSKYPEARLCLUB,,2022-01-01 03:21:56.603222,2022-02-28 11:21:13.681162,548,8,CZSKYPEARLCLUB,0.0113594085,0.009638286,55,2021-09-01,2022-08-04,Ascenda Partner,""
8,EKSKYWARDS,,2022-02-08 20:04:24.671577,2022-02-08 20:04:24.671577,1,,,,,,,,,
8,EVAINFML,,2022-02-23 12:27:44.624305,2022-02-23 12:27:44.624305,1,8,EVAINFML,0.014457429,0.01155,70,2018-02-05,3000-10-10,Ascenda Partner,""
8,HOJUNEYAOAIRCLUB,,2022-01-04 16:25:47.848141,2022-02-01 22:00:01.926091,2,8,HOJUNEYAOAIRCLUB,0.16522776,0.1376898,800,2019-05-10,3000-10-10,Ascenda Partner,""
8,HUFORTUNEWINGSCLUB,,2022-01-01 07:32:19.491026,2022-02-28 15:45:22.846487,167,8,HUFORTUNEWINGSCLUB,0.0099136656,0.008261388,48,2018-04-04,2022-04-01,Ascenda Partner,""
8,IHGREWARDSCLUB,,2022-01-05 08:14:07.235264,2022-02-28 15:17:55.085437,19,8,IHGREWARDSCLUB,0.0092940615,0.007,45,2018-02-05,3000-10-10,Ascenda Partner,""
8,JJWEHOTEL,,2022-01-02 04:19:04.39857,2022-01-02 04:19:04.39857,1,8,JJWEHOTEL,0.0066091104,0.005507592,32,2021-08-05,3000-10-10,Ascenda Partner,""
8,MIMARRIOTTBONVOY,,2022-01-02 02:54:59.571608,2022-02-28 11:27:05.388332,220,8,MIMARRIOTTBONVOY,0.012392082,0.0105,60,2020-08-19,2022-04-01,Ascenda Partner,""
8,QFQANTAS,,2022-02-10 10:52:04.761536,2022-02-10 10:52:04.761536,1,8,QFQANTAS,0.012392082,0.01,60,2018-05-21,3000-10-10,Ascenda Partner,""
8,SQKF,,2022-01-20 15:33:50.277214,2022-02-21 10:19:40.896669,5,8,SQKF,0.018588123,0.014,90,2020-12-01,3000-10-10,Ascenda Partner,""
8,UAMILEAGEPLUS,,2022-01-21 22:00:01.632816,2022-01-21 22:00:01.632816,1,,,,,,,,,
11,ACAEROPLAN,,2022-01-04 06:45:42.757833,2022-01-04 06:45:42.757833,1,11,ACAEROPLAN,0.016,0.012270345,1.7,2018-06-15,3000-10-10,Ascenda Partner,""
11,AFFLYINGBLUE,,2022-01-06 06:45:45.199569,2022-01-06 06:45:45.216429,2,11,AFFLYINGBLUE,0.013,0.012,1.4,2018-04-04,3000-10-10,Ascenda Partner,""
11,JALMILEAGEBANK,,2022-02-22 06:47:50.419464,2022-02-22 06:47:50.419464,1,11,JALMILEAGEBANK,0.021,0.019,2.25,2020-03-01,3000-10-10,Ascenda Partner,Barclays exclusive tier
12,ACCORLECLUB,,2022-01-01 00:54:58,2022-02-28 08:25:23,98,12,ACCORLECLUB,0.0323,0.021635,300,2018-04-11,2022-06-30,Ascenda Partner,""
12,IHGREWARDSCLUB,,2022-01-01 10:00:53,2022-02-28 13:47:18,183,12,IHGREWARDSCLUB,0.0098,0.007,100,2018-04-11,3000-10-10,Ascenda Partner,""
15,ACCORLECLUB,,2022-02-14 09:15:46.472376,2022-02-14 09:15:46.472376,1,15,ACCORLECLUB,0.03,0.021635,0.84,2022-01-01,2022-06-30,Ascenda Partner,""
15,BAAVIOS,,2022-01-14 09:15:39.874425,2022-02-18 09:15:43.117402,5,15,BAAVIOS,0.015,0.012,0.42,2022-01-01,2023-12-31,Ascenda Partner,""
15,ETHGUEST,,2022-01-10 09:15:43.399739,2022-01-10 09:15:43.399739,1,15,ETHGUEST,0.015,0.012,0.42,2022-01-01,3000-10-10,Ascenda Partner,""
15,UAMILEAGEPLUS,,2022-02-18 09:15:43.124795,2022-02-18 09:15:43.124795,1,15,UAMILEAGEPLUS,0.017,0.014,0.48,2022-01-01,3000-10-10,Ascenda Partner,""
20,ACCORLECLUB,,2022-01-02 02:00:41.472707,2022-02-23 02:00:44.973877,17,20,ACCORLECLUB,0.0261401592,0.021635,6,2019-10-18,2024-07-31,Ascenda Partner,""
20,AYFINNAIRPLUS,,2022-01-10 02:00:46.293239,2022-01-10 02:00:46.293239,1,20,AYFINNAIRPLUS,0.0088987776,0.008,2,2019-10-18,2024-04-30,Ascenda Partner,""
20,BAAVIOS,,2022-01-05 02:00:43.871228,2022-02-28 02:00:48.459283,4,20,BAAVIOS,0.0130700796,0.012,3,2019-10-18,2023-12-31,Ascenda Partner,""
20,EKSKYWARDS,,2022-01-01 02:00:43.823619,2022-02-24 02:00:47.703888,15,20,EKSKYWARDS,0.0172413816,0.015,4,2019-10-18,2023-12-31,Ascenda Partner,""
20,EVAINFML,,2022-01-20 02:00:46.413358,2022-02-27 02:00:48.506657,2,20,EVAINFML,0.0127919928,0.01155,3,2019-10-18,2024-07-31,Ascenda Partner,""
20,IHGREWARDSCLUB,,2022-01-01 02:00:43.843028,2022-02-25 02:00:47.953618,29,20,IHGREWARDSCLUB,0.008342604,0.007,2,2019-10-18,2024-07-31,Ascenda Partner,""
20,QFQANTAS,,2022-01-28 02:00:44.597251,2022-02-21 02:00:44.617608,2,20,QFQANTAS,0.0116796456,0.01,3,2019-10-18,2024-07-31,Ascenda Partner,""
20,UAMILEAGEPLUS,,2022-02-21 02:00:44.639689,2022-02-27 02:00:48.525295,2,20,UAMILEAGEPLUS,0.0172413816,0.014,4,2019-10-18,2024-07-31,Ascenda Partner,""
21,ACAEROPLAN,,2022-01-07 04:00:48.431623,2022-02-19 11:23:34.747829,7,21,ACAEROPLAN,0.016,0.012270345,1,2018-09-17,2023-12-31,Ascenda Partner,""
21,AFFLYINGBLUE,,2022-01-07 04:00:48.459014,2022-02-23 04:02:25.682036,10,21,AFFLYINGBLUE,0.0127,0.0115,1,2018-07-02,3000-10-10,Ascenda Partner,""
21,AFFLYINGBLUE,,2022-01-07 04:00:48.459014,2022-02-23 04:02:25.682036,10,21,AFFLYINGBLUE,0.0127,0.0115,1,2018-09-17,2023-12-31,Ascenda Partner,""
21,AVLIFEMILES,,2022-02-09 11:51:58.080417,2022-02-09 11:51:58.080417,1,21,AVLIFEMILES,0.014,0.0125,1,2019-06-11,2023-12-31,Ascenda Partner,""
21,BAAVIOS,,2022-01-07 04:00:48.445168,2022-02-19 11:23:34.717788,2,21,BAAVIOS,0.0132,0.012,1,2018-09-17,2023-12-31,Ascenda Partner,""
21,CMCONNECTMILES,,2022-01-18 04:01:28.841279,2022-02-17 04:01:33.865317,2,21,CMCONNECTMILES,0.017,0.015,1,2019-06-11,2023-12-31,Ascenda Partner,""
21,IBIBERIAPLUS,,2022-01-07 04:00:48.418934,2022-02-19 11:23:34.7089,4,21,IBIBERIAPLUS,0.0132,0.012,1,2018-09-17,2023-12-31,Ascenda Partner,""
21,IHGREWARDSCLUB,,2022-01-07 04:00:48.453417,2022-02-23 04:02:25.689591,21,21,IHGREWARDSCLUB,0.0083,0.007,0.5,2022-01-01,2024-12-31,Ascenda Partner,""
21,MIMARRIOTTBONVOY,,2022-01-04 04:00:44.720798,2022-02-23 04:02:25.697966,22,21,MIMARRIOTTBONVOY,0.0112,0.0105,0.5,2022-01-01,2024-12-31,Ascenda Partner,""
22,ACAEROPLAN,,2022-01-01 02:17:19.558716,2022-02-28 23:53:24.615683,965,22,ACAEROPLAN,0.011692917,0.010826775,1,2021-10-07,3000-10-10,Ascenda Partner,""
22,ACCORLECLUB,,2022-01-06 01:57:42.203102,2022-02-28 20:43:19.05056,36,22,ACCORLECLUB,0.01752435,0.01622625,2,2020-02-20,3000-10-10,Ascenda Partner,""
22,AFFLYINGBLUE,,2022-01-01 00:01:55.498335,2022-02-28 22:29:24.029469,1214,22,AFFLYINGBLUE,0.012528,0.0116,1,2021-10-07,3000-10-10,Ascenda Partner,""
22,AMCLUBPREMIER,,2022-01-02 07:16:31.490047,2022-02-28 16:49:38.209565,70,22,AMCLUBPREMIER,0.0108,0.01,1,2021-04-20,3000-10-10,Ascenda Partner,""
22,AVLIFEMILES,,2022-01-01 02:00:26.915812,2022-02-28 23:52:11.132176,419,22,AVLIFEMILES,0.0135,0.0125,1,2021-04-20,3000-10-10,Ascenda Partner,""
22,AYFINNAIRPLUS,,2022-01-01 01:07:46.809152,2022-02-25 04:37:02.625834,32,22,AYFINNAIRPLUS,0.00864,0.008,1,2021-04-20,2024-04-30,Ascenda Partner,""
22,CHOICEHOTELS,,2022-01-02 00:18:27.994058,2022-02-28 19:15:43.108566,163,22,CHOICEHOTELS,0.00728,0.007,1,2021-12-10,3000-10-10,Ascenda Partner,""
22,CXASIAMILES,,2022-01-01 18:21:15.041848,2022-02-28 18:01:11.115342,119,22,CXASIAMILES,0.013284,0.0123,1,2021-04-20,3000-10-10,Ascenda Partner,""
22,EKSKYWARDS,,2022-01-01 08:37:10.914799,2022-02-28 23:42:13.711403,989,22,EKSKYWARDS,0.0162,0.015,1,2021-10-07,2022-12-31,Ascenda Partner,""
22,ETHGUEST,,2022-01-01 08:31:01.055688,2022-02-27 03:15:57.494584,82,22,ETHGUEST,0.01296,0.012,1,2021-04-20,3000-10-10,Ascenda Partner,""
22,EVAINFML,,2022-01-01 21:22:40.865769,2022-02-28 19:44:23.118903,150,22,EVAINFML,0.012474,0.01155,1.3333,2018-12-10,3000-10-10,Ascenda Partner,""
22,QFQANTAS,,2022-01-01 20:15:46.799527,2022-02-28 16:37:55.732423,133,22,QFQANTAS,0.00918,0.0085,1,2021-04-20,3000-10-10,Ascenda Partner,""
22,SQKF,,2022-01-01 09:04:52.47726,2022-02-28 23:33:42.867461,493,22,SQKF,0.01728,0.016,2,2018-12-10,3000-10-10,Direct Partner,""
22,TKMILESANDSMILES,,2022-01-01 00:15:47.223473,2022-02-28 22:49:50.828807,1348,22,TKMILESANDSMILES,0.013662,0.01265,1,2022-01-01,2022-12-31,Ascenda Partner,""
22,TPMILESANDGO,,2022-01-01 21:44:51.99319,2022-02-28 18:20:59.304018,97,22,TPMILESANDGO,0.00728,0.007,1,2021-04-20,3000-10-10,Ascenda Partner,""
22,WHWYNDHAMREWARDS,,2022-01-01 00:18:33.386494,2022-02-28 22:20:36.54911,438,22,WHWYNDHAMREWARDS,0.0108,0.01,1,2021-04-20,3000-10-10,Ascenda Partner,""
23,AFFLYINGBLUE,,2022-02-16 06:01:55.203271,2022-02-16 06:01:55.203271,1,,,,,,,,,
